Name;;Color;;;Model;;Year;More details;
Toyota 2000GT;;white;;;olympic car;;2011;;
Bone Shaker;;orange/ bronze;;;Car;;2005;;
10 Chevy Impala;;blue;;;nascar;;2010;;
Kick Kart;;blue;;;golf kart (kind of);;2017;;
Octane;;red;;;octane rocket league;;2018;;
Toyota AE86 Sprinter Trueno;;black and white;;;drift car;;2020;;
Toyota AE86 Sprinter Trueno;;blue green;;;drift car;;2020;;
2018 Honda Civic Type R;;black;;;Car;;2018;;
16 Bugatti Chiron;;black;;;Hyper car;;2018;;
Cable (Marvel);;yellow and blue;;;character car;;2017;;
Symbolic;;green;;;Car;;-;;
dodge challenger drift car;;green and black;;;Muscle car;;2010;from fast and furious set (no rubber tires);
Duel fueler;;green and black;;;fantasy car;;2015;;
1956 Powell Sport Pickup truck ;;yellow;;;Pickup truck truck;;2019;Matchbox;
Nissan Skyline GT-r r34;;silver;;;Car;;2009;;
Nissan 300ZX TT;;blue;;;JDM car;;2018;;
Voltage spike;;blue;;;Car;;2015;;
Custom '01 Acura Integra GSR;;purple;;;JDM car;;2015;;
HW pursuit;;red;;;Car;;2012;;
Corvette Grand Sport Roadster;;light blue;;;Car;;2018;;
Speed Trapper;;orange;;;trailer;;2016;matchbox;
Ice Charger;;grey;;;Car;;2017;;
Blitzspeeder;;yellow;;;xraycer;;2015;;
71 Plymouth GTX;;black;;;Muscle car;;2011;;
Corvette Grand Sport Roadster;;silver;;;Car;;2014;from fast and furious set (no rubber tires);
2019 Audi R8 Spyder;;white;;;Car;;2019;;
Mod rod;;black;;;Car;;2019;;
Alpha Pursuit;;grey;;;police;;2019;;
Aston Martin One-77;;red;;;Car;;2011;;
2008 Lancer Evolution;;black;;;Car;;2008;;
Muscle Bound;;black;;;Car;;2018;;
Twin Mill Gen-E;;red;;;Car;;2018;;
BMW Z4 M;;white;;;Race car;;2019;;
Deora III;;turqouise;;;cabrio;;2018;;
Corvette C7 Z06  ;;white;;;Car;;2016;;
Ford Group 6;;light green;;;Race car;;1969;Matchbox Series #45 (Superfast);
8 Crate;;white;;;station wagon;;2002;;
Tooligan;;purple;;;experimotors;;2009;;
HI-Tech Missile;;red;;;Car;;2013;;
Maserati Bora;;purple/pink;;;Car;;1972;Matchbox Series #32 (Superfast);
Range Rover Velar;;red;;;SUV;;2016;;
Lindster Prototype;;red;;;future car;;2019;;
Datsun 260 Z 2+2;;purple/pink;;;Car;;1978;Matchbox Series #67 (Superfast);
Greenwood Corvette;;gold;;;Race car;;2012;;
Teegray;;blue;;;Car;;2010;;
Rip rod;;red;;;Car;;2013;;
69 Dodge Charger 500;;purple;;;Muscle car;;2014;;
Aisle Driver;;silver;;;shopping cart;;2016;;
2011 Camaro;;red;;;fire car;;2010;;
BMW 328;;white;;;police;;1999;matchbox;
Oldsmobile Vista Cruiser;;green;;;station wagon;;-;matchbox;
Clipper;;purple/pink;;;Car;;1973;matchbox Series #39 (Superfast);
Batmobile;;shiny grey;;;tv car;;2018;;
Aston Martin Vulcan;;white;;;Hyper car;;2018;;
Mclaren Senna;;white;;;Hyper car;;2018;;
Mercedes 350SL;;orange;;;Old car;;1976;Matchbox Series #6 (Superfast);
LB-Works Lamborghini Huracan coupe;;grey;;;Hyper car;;2020;;
Corvette C7 Z06 convertible ;;Black;;;convertible;;2017;;
89 Mazda Savanna RX-7 FC3S;;white;;;JDM car;;2019;;
The skate Grom;;light blue;;;skate board;;2013;;
1991 GMC Syclone ;;red;;;Pickup truck truck;;2019;real rider;
Mustang Funny Car;;grey;;;Drag car;;2020;th;
Fleet Flyer;;green;falken;;truck;;2017;real rider;team transport
Mercedes Benz 190E 2.5-16;;green;falken;;Race car;;2016;real rider;
95 Mazda Rx-7;;red;;;JDM car;;2018;real rider;
Lamborghini Aventador Coupe;;silver;;;Hyper car;;2011;real rider;
Nissan GTR;;shiny purple;;;JDM car;;-;majorette;
Nissan GTR;;matt purple;;;JDM car;;-;majorette;
Ford Fiesta WRC;;blue;;;Rally car;;-;majorette;
Mercedes Benz 500E;;red;;;convertible;;2020;I cut off the roof (custom);
67 Ford Mustang GT;;purple;;;Muscle car;;2010;;
2018 Honda Civic Type R;;dark grey;;;JDM car;;2018;;
Subaru BRAT;;blue;;;truck;;2012;;
2018 Bentley Continental GT3;;green;;;Race car;;2020;;
Lamborghini Sesto Elemento;;yellow;;;Hyper car;;2013;;
Tour de Fast;;beige;;;car with bicycles;;2016;;
Lotus Europe special - 1972 ;;yellow;;;Old car;;2008;;
98 Honda Prelude;;yellow;;;JDM car;;2019;;
21 Ford Bronco;;blue;;;SUV;;2020;;
17 Ford F-150 Raptor;;grey;;;Pickup truck truck;;2015;;
GT Hunter;;blue;;;Race car;;2014;error car;
2002 Nissan Skyline GTR R34;;silver;;;JDM car;;-;not 1/64;
2020 Koenigsegg Jesko;;white;;;Hyper car;;2020;;
2017 Camaro ZL1;;dark blue;;;Muscle car;;2016;;
2013 Viper ;;dark blue;;;Muscle car;;2016;;
13 Ford mustang GT;;black;;;Drag car;;2012;;
Honda Civic SI;;light blue;;;Car;;2000;;
Porsche 993 GT2;;red;;;Car;;-;;
Flintmobile;;orange;;;stone age car;;-;;
Nissan leaf nismo RC_02;;grey;;;Race car;;2020;;
Big Bannana car;;yellow;;;banana;;2019;matchbox;
Audacious ;;orange/ brown;;;Car;;2002;;
89 Porsche 944 Turbo;;Blue;;;Old car;;2019;;
69 copo camaro;;Falken/ blue;;;Muscle car;;2019;;
67 Jeepster commando;;black;;;Pickup truck truck;;2018;;
Porsche Taycan Turbo S;;red;;;electric;;2020;;
17 Nissan GTR (R35);;yellow;;;JDM car;;2016;;
2015 Mazda MX-5 Miata;;red;;;JDM car;;2015;;
Rockstar;;red;;;SUV;;2003;;
Aston Martin Vulcan;;orange/red;;;Hyper car;;2018;;
Custom '18 Ford Mustang GT;;dark grey;;;drift car;;2018;;
Quad Rod;;yellow;;;quad;;2016;;
2020 Konigsegg Jesko;;dark grey;;;Hyper car;;2020;;
20 Toyota GR Supra;;white;;;JDM car;;2020;;
Renault sport RS;;white;;;Race car;;2015;;
Maximum Leeway;;white;;;race/drag car;;2012;;
Super Stinger;;glow in the dark;;;spooky car;;2009;;
Subaru Sambar;;black;;;mini truck;;2018;matchbox;
Mazda Mx-5 Miata;;black;;;cabrio;;2015;matchbox;
Audacious ;;red;;;Car;;2002;;
1985 Honda CR-X;;black;;;JDM car;;2015;;
Geoterra;;red;;;SUV;;2019;;
Disney steamboat;;white;;;boat;;2020;;
Jaguar XE SV Project 8;;purple;;;Car;;2018;;
Triumph TR6;;red;;;Old car;;2009;;
12 Ford Fiesta;;grey;;;drift car;;2011;;
Dune Crusher;;white;;;SUV/sand car;;2013;;
2018 Camaro SS;;orange bronze;;;Muscle car;;2017;53 series;
Jaguar XE SV Project 8;;black;;;Car;;2018;;
Lancia Delta Integrale;;black;;;Rally car;;2020;;
cosmic coupe;;green and white;;;track stars car;;2020;;
Mitsubishi 3000GT;;black;;;JDM car;;2021;matchbox;
1967 Ford GT40 Mk.IV;;red;;;Old race car;;2020;;
1967 Ford GT40 Mk.IV;;yellow;;;Old race car;;2020;;
Porsche 911 GT3-2007;;red;;;sports car;;2007;matchbox;
68 Mercury Cougar;;green;;;Muscle car;;2013;;
Scion xB;;yellow;;;mini Stationwagon;;2004;;
Indy 500 Oval;;blue;;;f1 car;;2011;;
Car-de-Asada;;beige;;;taco;;2020;;
Porsche 914 Safari;;yellow;;;desert car/safari;;2020;;
Twin Mill    ;;dark blue;;;Car;;2018;;
85 Chevrolet Camaro Iroc-Z;;red;;;Car;;2011;;
98 Honda Prelude;;dark blue;;;JDM car;;2019;;
2016 Honda Civic Type-R;;orange/red;;;JDM car;;2016;;
Formula E Gen 2;;black;;;formula car;;2019;;
Subaru WRX STI;;white;;;Car;;2011;;
Subaru WRX STI;;yellow;;;Car;;2011;;
Ford GT-40;;white;;;Race car;;2019;;
Rodger-Dodger;;black;;;Muscle car;;2018;;
Jaguar XE SV Project 8;;red;;;Car;;2018;;
Minecart ;;yellow;;;minecart;;2015;;
1956 Aston Martin;;green;;;Old car;;2019;matchbox;
Muscle Bound;;purple;;;Muscle car;;2018;;
Subaru SVX;;red;;;JDM car;;2018;matchbox;
Mazda RX-3;;white;;;JDM car;;2015;;
17 Nissan GTR (R35);;grey;;;JDM car;;2016;;
Roborace Robocar;;black, white, turqoise;;;Car;;2018;;
LB-Silhouette Works GT Nissan 35GT -RR Ver. 2;;;blue;;JDM car;;2020;;
Porsche 934;;light blue;;;Old car;;-;majorette;
64 Corvette Stingray;;white;;;Car;;2007;;
2018 Bugatti Divo;;dark grey;;;Hyper car;;2019;matchbox;
Lotus Exige - 2006;;dark green;;;Car;;2006;matchbox;
Nissan Skyline 2000 GT-R;;yellow;;;JDM car;;2011;;
68 Shelby Gt500;;purple;;;Muscle car;;2012;;
Corvette C8.R;;grey;;;Race car;;2020;;
70 Challenger ;;orange/bronze;;;Muscle car;;2006;53 series;
Muscle and Blown;;blue grey;;;Muscle car;;2020;;
98 Subaru Impreza 22B STI- Version;;dark blue;;;JDM car;;2019;;
Fairlady 2000;;light blue;;;JDM car;;2016;;
68 Dodge Dart;;black;;;Muscle car;;2010;50 series;
21 Ford Bronco;;blue grey;;;SUV;;2020;;
Nissan R390 GT1;;white;;;Car;;2020;;
Range Rover Classic;;red;;;SUV;;2021;;
1995 Nissan Hardbody (D21);;white;;;Pickup truck truck;;2019;;
Custom Ford Bronco;;red;;;SUV;;2007;;
20 Toyota Tacoma;;blue;;;Pickup truck truck;;2021;;
Mighty K;;white;;;small Pickup truck;;2021;;
LB-Silhouette Works GT Nissan 35GT -RR Ver. 2;;;red;;JDM car;;2020;;
Honda S2000;;yellow;;;JDM car;;2010;;
Toyota AE86 Sprinter;;white;;;JDM car;;2020;;
Custom '01 Acura Integra GSR;;dark green;;;JDM;;2015;;
Subaru WRX STI;;dark blue/black;;;JDM car;;2021;;
19 Chevrolet Silverado Trail Boss LT.;;black;;;Pickup truck truck;;2017;;
91 Mazda MX-5 Miata;;white;;;JDM;;2018;;
69 COPO Corvette;;blue;;;Race car;;2010;;
Mazda REPU;;orange;;;Pickup truck;;2016;;
LB Super Silhouette Nissan Silvia (S15);;white;;;JDM car + body kit;;2021;;
Toyota AE86 Sprinter Trueno;;red;;;JDM car;;2020;;
BMW M3 GT2;;red;;;Race car;;2011;;
15 Land Rover Defender Double Cab;;black;;;Truck;;2017;;
Nissan Skyline 2000 GT-R;;grey;;;JDM car;;2011;;
63 Studebaker;;black;;;Pickup truck truck;;2021;;
Ford Mustang Mach-E 1400;;white;;;SUV-e;;2021;;
Tesla Cybertruck ;;metal;;;SUV-e;;2020;;
La Troca;;gold;;;Pickup truck;;2020;;
Formula Solar;;yellow;;;Car;;2015;;
Volvo 850 Estate;;red;;;station wagon;;2019;;
Track Ripper;;green;;;Race car;;2017;;
Monteracer;;blue purple;;;Race car;;2015;;
Growler;;red;;;dog ;;2011;;
Exotique;;orange;;;Car;;2017;;
Speed Spider;;blue;;;spider;;2015;;
Lotus Esprit S1 ;;blue;;;Car;;2014;;
HW Warp Speeder ;;glow in dark;;;track stars car;;2019;;
32 Ford;;red;;;Hot Rod;;1997;;
Electro Silhouette;;purple;;;electric;;2018;;
Mach Speeder ;;black;;;Race car;;2017;;
Sling shot;;dark blue ;;;Car;;2001;;
Cyber speeder;;blue;;;Car;;2017;;
Carbide;;red;;;Race car;;2014;;
Formul8r;;black;;;Race car;;2005;;
Bedlam;;green;;;Pickup truck;;2003;;
Rev Rod;;purple;;;Car;;2014;;
2012 Volkswagen Beetle;;light blue;;;Car;;2012;;
Zombot;;red;;;robot;;2017;;
2020 Corvette ;;blue;;;Car;;2019;;
70 Chevelle SS Wagon;;blue;;;station wagon;;2008;;
BOT Wheels;;gold;;;rover for moon or mars;;2018;;
Night Burner;;orange;;;halloween car;;2016;;
Time Tracker;;black;;;Race car;;2012;;
Loopster;;lime green;;;rollercoaster;;2014;;
2018 Bentley Continental GT3;;white;;;Race car;;2020;;
Buns of Steel;;red;;;burger and fries;;2018;;
Turtoshell;;brown;;;turtle;;2020;;
Ford GT-40;;black;;;Race car;;1999;;
Mars Perseverance Rover;;white;;;rover for moon or mars;;2012;;
speed dozer;;grey;;;excavator;;2013;;
Toyota Land Cruiser;;blue;;;Pickup truck truck;;2020;;
1963 Honda T360 MB 1252;;light blue;;;Pickup truck;;2020;matchbox;
Loco Motorin;;see through;;;train;;2019;;
Mclaren F1 GTR;;turqouise;;;Race car;;2017;;
The Mystery Machine;;turqouise;;;scooby doo van;;2012;;
Raijin Express;;chrome;;;japanese truck;;2020;;
Loopster;;red;;;rollercoaster;;2014;;
Loopster;;pink;;;rollercoaster;;2014;;
Impavido;;green;;;Car;;2015;;
69 Ford Torino Talladega;;orange;;;Muscle car;;2008;;
Volkswagen Beetle;;white;;;VW Bug;;1988;;
GT-Scorcher;;red;;;Race car;;2020;;
2020 Ram 1500 Rebel;;blue;;;Pickup truck truck;;2019;;
V8 Bomber;;silver;;;Monster truck;;2020;;
Mercedes benz Unimog;;orange;;;Monster truck;;2021;;
Ducati Scrambler;;black;;;Motorcycle;;2021;;
Caged Cargo;;green;;;truck with trailer;;2013;;
2018 Camaro SS ;;green camo;;;Muscle car;;2017;;
Ford Focus RS;;light blue;;;Car;;2016;;
70 Toyota Celica;;blue green;;;JDM;;2012;;
A'int Fare;;green;;;bus;;2020;;
McLaren Speedtail;;orange;;;Hyper car;;2019;;
88 Honda CRX;;black;;;JDM car;;2018;;
Aston Martin Vulcan;;blue;;;Hyper car;;2018;;
2011 MINI Cooper Countryman;;green;;;mini;;2018;matchbox;
2007 Audi R8;;light blue;;;Car;;2019;;
2008 Tesla Roadster;;red;;;e-car;;2008;;
Nissan Skyline H/T 2000GT-X;;blue;;;JDM car;;2011;;
71 Maverick Grabber ;;purple;;;Muscle car;;2009;;
71 Plymouth road runner;;blue;;;Muscle car;;2021;;
Land rover Defender 90;;red;;;SUV;;2019;;
HW Warp Speeder ;;glow in dark;;;track stars car;;2019;;
Porsche Cayenne Turbo S;;orange;;;SUV;;-;majorette opening trunk;
65 Ford Ranchero;;white;;;Pickup truck  ;;2010;;
59 Chevy Impala;;pink;;;lowrider;;2012;;
ZOTIC;;pink;;;Car;;2002;;
Growler;;red;;;wolf;;2011;;
GT Hunter;;green;;;Race car;;2014;;
MBX Auto Transport;;orange;;;autotransporter with trailer;;2019;matchbox;
Track Hammer;;blue;;;Car;;2016;;
Landspeeder;;brown;;;starwars landspeeder;;2020;;
Mitsubishi Evo;;lime green;;;Car;;2003;;
Lamborghini Sesto Elemento;;baby blue;;;Hyper car;;2013;;
Lancia Delta Integrale;;white;;;Rally car;;2020;;
20 Ford Shelby GT500;;yellow;;;Muscle car;;2020;;
Nissan 370Z;;black;;;JDM ;;2009;;
2011 MINI Cooper Countryman;;grey;;;MINI;;2018;matchbox;
61 Impala;;red;;;lowrider;;2011;;
2013 Viper;;purple;;;Muscle car;;2012;;
55 Chevy ;;purple/pink;;;Car;;2006;;
Mercedes benz Unimog U300-2006;;blue turqouise;;;Pickup truck truck;;2006;matchbox;
19 Pagani Huayra Roadster;;dark blue;;;Hyper car;;2020;matchbox;
Formula E Gen 2;;gold;;;Formula car;;2019;;
Rocket Oil Special;;purple;;;Old car;;2020;;
Lamborghini Gallardo LP 560-4;;red;;;Hyper car;;2010;;
Lamborghini Gallardo LP 560-4 polizia;;white;;;police Hyper car;;2012;;
Toyota off-road Truck;;orange;;;rally truck;;2015;;
Land rover Defender 90;;red;;;SUV;;2019;;
Trak Tune;;grey;;;colorshifter;;2003;;
85 Camaro Iroc-z;;green yellow;;;Car;;2011;;
Monteracer;;light blue;;;Race car;;2015;;
Lethal Diesel;;red brown;;;track stars car;;2020;;
Porsche 911 GT2;;white;;;Race car;;2010;;
International Durastar Flatbed;;white;;;car hauler;;2008;matchbox;
16 Lamborghini Centenario roadster;;white;;;Hyper car;;2018;;
Ford GT-40;;blue;;;Race car;;1999;;
Track Ripper;;green;;;Race car;;2017;;
Lindster Prototype;;glow in dark;;;Car;;2019;;
98 Subaru Impreza 22B STI- Version;;black blue;;;JDM ;;2019;;
Scion FR-S;;pink;;;JDM;;2013;;
Draftnator;;orange;;;track stars car;;2020;;
Corvette C8.R;;yellow;;;Race car;;2020;;
19 Chevrolet Corvette ZR1 Convertible;;orange;;;cabrio;;2019;;
67 Camaro;;white;;;Muscle car;;2016;;
Power Pro;;orange;;;Race car;;2001;;
90 Acura NSX;;red;;;JDM;;2014;;
Porsche 934 Turbo RSR;;white matt;;;Old car;;2014;;
Cyber speeder;;green;;;cyber car;;2017;;
Subaru Sambar Truck;;white;;;Pickup truck;;2018;matchbox;
Vokswagen Golf;;green;;;Car;;1989;;
Aston Martin Vantage GT3;;red;;;Race car;;2014;;
Cyber speeder;;blue;;;cyber car;;2017;;
Midnight Otto;;black;;;Hot Rod;;2001;;
P-Wing;;white;;;mario kart car;;2019;;
Custom '70 Honda N600;;beige;;;Car;;2020;;
Bone Shaker;;black;;;Hot Rod;;2005;;
Mclaren P1;;turqouise;;;Hyper car;;2016;;
Mercedes Benz Actros;;blue;;;truck with trailer;;2020;;
Ford Shelby GT350R;;white;;;Muscle car;;2015;;
18 Land Rover Vogue SE;;white;;;SUV;;2017;matchbox;
Time Tracker;;black;;;Race car;;2012;;
Nissan R390 GT1;;blue;;;Car;;2020;;
Sharkruiser;;green;;;shark;;1986;;
Batmobile;;black;;;batman car;;2020;;
17 Acura NSX;;white;;;Car;;2015;;
Pharodox;;blue;;;Car;;2014;;
Land rover Defender 90;;blue;;;SUV;;2019;;
80 Mercedes - Benz W123;;blue;;;station wagon;;2018;matchbox;
Monoposto;;purple;;;Race car;;2000;;
Porsche Panamera - 2010;;blue black;;;Car;;2017;matchbox;
Driftsta;;orange;;;Car;;2014;;
Nissan 350z;;grey;;;JDM car;;2005;;
72 Ford Fran Torino Sport;;green;;;Muscle car;;2010;;
Volkswagen Kool Kombi;;grey;;;Van;;2012;;
17 Acura NSX;;red;;;Car;;2012;;
Bedlam;;green;;;Pickup truck;;2003;;
Mercedes - Benz 300 SL;;grey;;;Car;;2019;;
Track Ripper;;orange;;;Race car;;2017;;
Erikenstein Rod;;light blue;;;Hot Rod;;2019;;
Polaris RZR ;;black;;;dune buggy;;2019;matchbox;
Plymouth Barracuda;;red;;;Muscle car;;1969;;
Polaris Slingshot;;blue;;;3 wheel car;;2018;matchbox;
Corvette Grand Sport;;blue;;;Car;;2018;;
17 Audi Rs 6 Avant;;white matt;;;station wagon;;2017;;
Rigor Motor;;black;;;car with coffin;;1994;;
Rigor Motor;;black;;;car with coffin;;1994;;
Porsche 918 Spyder;;green;;;Hyper car;;2017;;
Aston Martin One-77;;yellow;;;safety car;;2011;;
09 Ford Focus RS;;bronze;;;rally car;;2010;;
1999 Porsche Carrera;;white;;;Old car;;2018;;
Growler;;red;;;wolf;;2011;;
MR11;;turqouise;;;soccer car;;2013;;
Monteracer;;light blue;;;Race car;;2015;;
Bone Shaker;;blue;;;Hot Rod;;2006;;
Formul8r;;black;;;Race car;;2005;;
67 Camaro;;gold;;;Muscle car;;2016;;
Suzuki Jimny;;green;;;SUV;;2021;majorette;
Lamborghini Urus;;gold;;;SUV;;2021;majorette;
Volkswagen Golf ;;brown;;;Car;;2021;majorette;
Ford F-150 Raptor;;white;;;Pickup truck truck;;2021;majorette;
Ford F-150 Raptor;;metal;;;Pickup truck truck;;2021;majorette;
Toyota Hiace;;red;;;Van;;2021;majorette;
Lamborghini Urus;;dark grey;;;SUV;;2021;majorette;
Lamborghini Urus;;gold;;;SUV;;2021;majorette;
Toyota Gt86;;blue;;;JDM car;;2021;majorette;
Dodge Charger R/T;;orange;;;Muscle car;;2021;majorette;
Aston martin valhalla concept;;grey;;;concept car;;2021;;
16 Cadillac ATS-V R;;red;;;Race car;;2017;;
87 Dodge D100;;orange;;;Pickup truck truck;;2018;;
F-150 SVT Lightning ;;red;;;Pickup truck;;2020;;
2020 Tesla Roadster;;red matt;;;Car;;2020;;
Custom '70 Honda N600;;teal;;;Car;;2020;;
57 Chevy;;gold;;;Old car;;2018;;
17 Ford GT;;black;;;Race car;;2015;;
Alfa Romeo 8C Competizione;;red;;;Car;;2013;;
Custom '70 Honda N600;;white;;;small car;;2020;;
98 Honda prelude;;red;;;JDM car;;2019;;
Mighty K;;Pink;;;Pickup truck ;;2021;;
Mclaren P1;;grey;;;Old car;;2020;;
70 Toyota Celica;;red;;;JDM car;;2012;;
62 Nissan Skyline R30 ;;blue;;;JDM car;;2017;;
F1 Racer;;red;;;Formula car;;;;
Fast Fish;;blue;;;track stars car;;;;
Gyrosphere;;blue;;;ball;;2017;matchbox;
Ford Focus RS;;orange;;;Car;;2016;;
Nissan Skyline 2000 GT-R;;light blue;;;JDM;;2021;;
87 Ford Sierra Cosworth;;black;;;rally car;;2021;;
1986 Toyota Van;;red;;;Van;;2021;;
Audi RS e-tron GT;;grey;;;Car;;2021;;
"Volkswagen ""Baja Bug""";;turqouise;;;sand buggy;;2021;;
2020 Jeep Gladiator;;white;;;Pickup truck truck;;2019;;
Lamborghini Huracan Coupé;;white;;;Hyper car;;2020;;
PPC.ARR ;;grey;;;space ship from star trek;;2013;;
Mach it go;;blue;;;track stars car;;2021;;
1970 Chevrolet Chevelle SS;;maroon;;;Muscle car;;2012;;
19 Ford Ranger Raptor;;green;;;Pickup truck truck;;2018;;
17 Ford GT;;blue;;;Car;;2015;;
Ford Falcon Race ;;grey;;;Race car;;2011;;
Ford Mustang Mach-E 1400;;white;;;SUV ;;2021;;
Exotique;;purple;;;Car;;2017;;
Veloci-Racer;;red;;;dinosaur;;2019;;
Subaru WRX STI;;red;;;JDM;;2021;;
Toon'd '83 Chevy Silverado;;blue;;;small Pickup truck;;2021;;
Haulin' Class;;yellow;;;transporter;;2021;;
Custom Volkswagen hauler;;brown;;;caravan;;2015;;
Lucid air;;silver;;;Car;;2021;;
20 Toyota Tacoma;;blue;;;Pickup truck truck;;2021;;
Nissan Skyline 2000 GT-R;;grey;;;JDM car;;2011;;
Humvee;;orange;;;hummer;;2014;;
70 chevy camaro rs;;blue;;;Muscle car;;2020;;
Rennen rig;;orange;;;truck cabin;;2010;;
Lolux;;red;;;race Pickup truck;;2021;;
12 Ford Fiesta;;blue;;;drift car;;2011;;
67 Ford Gt40 Mk. IV;;light blue;;;Race car;;2020;;
Shelby cobra 427 S/C;;red;;;Old car;;2019;;
Toyota Land Cruiser 80;;beige;;;SUV;;2020;;
Mad manga;;blue;;;Car;;2011;;
Glory Chaser;;green;;;Old car;;2021;;
94 Audi Avant Rs2;;grey;;;station wagon;;2020;;
K.I.T.T. Super Pursuit Mode;;black;;;film car;;2013;;
99 Honda Civic type R;;yellow;;;JDM car;;2020;;
Nissan leaf nismo RC_02;;red;;;Race car;;2020;;
68 Plymouth barracuda formula S;;green;;;Muscle car;;2012;;
71 Dodge Charger;;dark grey;;;Muscle car;;2009;;
15 Challenger SRT;;blue;;;Muscle car;;2015;;
Volvo 240 Drift Wagon;;maroon;;;drift car;;2022;;
Donut Drifter;;yellow;;;donut;;2019;;
Altered ego;;blue;;;drag car;;2012;;
Lancia Delta Integrale;;dark green;;;rally car;;2020;;
84 Mustang SVO;;purple;;;Muscle car;;2011;;
68 Mercury Cougar;;light blue;;;Muscle car;;2013;;
Shelby cobra 427 S/C;;yellow;;;Old car;;2019;;
Lotus Evija;;green;;;Hyper car;;2021;;
Volvo 850 Estate;;black;;;Wagon;;2019;;
Corvette C6R;;blue;;;Race car;;2021;;
TV Series Batmobile;;yellow;;;tv series car;;2021;;
Pininfarina battista;;blue;;;Hyper car;;2021;;
1991 GMC Syclone;;black;;;Pickup truck;;2019;;
Duck N' Roll;;yellow;;;duck;;2019;;
Dodge Rampage;;black;;;Pickup truck;;2020;;
99 Honda Civic type R;;white;;;JDM car;;2020;;
49 Ford F1;;purple;;;Pickup truck;;2012;;
Nissan Maxima Drift car;;beige;;;drift car;;2021;;
Chevelle SS Express;;black;;;Muscle car;;2007;;
95 Mazda RX-7;;silver;;;JDM car;;2017;;
Toyota Supra;;red;;;JDM car;;2012;;
94 Audi Avant Rs2;;black;;;station wagon;;2020;;
64 Chevy Nova Wagon;;orange;;;station wagon;;2012;;
Mad manga;;lime green;;;Car;;2011;;
70s Van;;white;;;Van;;1974;;
Honda s2000;;yellow;;;JDM car;;2019;;
Mercedes-Benz 500E;;silver;;;Car;;2020;;
Custom Ford Maverick;;black;;;Muscle car;;2017;;
El Camino;;red;;;Muscle car;;2012;;
2016 Ford GT Race;;silver;;;Race car;;2016;;
15 Mercedes-Benz G-Class;;blue;;;SUV;;2018;matchbox;
1978 Dodge LI'L Red express truck;;blue;;;Pickup truck;;2018;;
Porsche 935;;blue;;;Old car;;2020;;
Veloci-Racer;;turqouise;;;dinosaur;;2019;;
LB-Silhouette works gt Nissan 35GT-RR Ver2;;red;;;JDM car;;2020;;
20 Toyota GR Supra;;yellow;;;JDM car;;2020;;
15 Jaguar F-Type coupe;;light blue;;;Car;;2015;matchbox;
Jaguar XE SV Project 8;;orange;;;Race car;;2018;;
2009 Ford F-150;;blue;;;Pickup truck truck;;2008;;
Sand burner;;black;;;rally car;;2020;;
Cosmic Coupe;;black;;;track stars car;;2020;;
Fast fish;;yellow;;;track stars car;;2021;;
Mazda Repu;;blue;;;Pickup truck truck;;2016;;
Tesla roadster;;silver;;;Car;;2020;;
Tooned VW Golf MK1 ;;white;;;small car;;2021;;
2021 Citroen ami;;grey;;;small car;;2021;matchbox;
2020 Jaguar F-Type;;black;;;Car;;2020;;
Hi-Beam;;blue;;;Car;;2017;;
Volkswagen käfer racer;;red;;;Race car;;2016;;
1967 Ford GT40 Mk.IV;;white;;;Race car;;2020;;
65 mustang fastback;;green;;;Muscle car;;2007;;
Mercedes-Benz 500E;;red;;;Car;;2020;;
2016 Alfa Romeo Guilia;;white;;;Car;;2019;matchbox;
87 Ford Sierra Cosworth;;blue;;;Car;;2021;;
Pagani Huayra;;gold;;;Hyper car;;2012;;
Mclaren F1 GTR;;silver;;;old Hyper car;;2017;;
Lamborghini Sian FKP 37;;green gold;;;Hyper car;;2021;;
87 Ford Mustang GT;;black;;;Muscle car;;2010;;
Custom '53 cadillac;;blue;;;low rider;;2008;;
68 Mercury Cougar;;black;;;Muscle car;;2013;;
Dodge Viper RT/10;;yellow;;;Car;;1992;;
Dodge Viper RT/10;;white;;;Car;;1992;;
Dodge Viper RT/10;;blue;;;Car;;1992;;
Minecart;;grey;;;minecraft cart;;2015;;
Minecart;;green;;;minecraft cart;;2015;;
Back to the future time machine;;silver;;;time machine;;2021;;
1970 pontiac firebird;;red;;;Muscle car;;2021;;
tooned VW Golf MK1 ;;red;;;tooned car;;2021;;
Corvette Grand Sport roadster;;yellow;;;Car;;2018;;
62 Corvette Gasser;;bronze;;;Muscle car;;2021;;
Mclaren F1;;black;;;old Hyper car;;2020;;
Quick Bite;;black;;;Truck;;2017;;
Dimachini veloce;;blue;;;Car;;2021;;
68 dodge dart;;white;;;Muscle car;;2021;;
69 copo corvette;;blue;;;Race car;;2010;;
2019 mercedes-benz A-class;;blue;;;compact car;;2018;;
Ford focus RS;;black;;;compact car;;2016;;
67 chevy;;red;;;old muscle car;;1978;;
Big-air bel-air;;black;;;sand car;;2019;;
Pagani Zonda R;;black;;;Hyper car;;2021;;
Mazda RX-3;;black;;;JDM car;;2015;;
Pininfarina battista;;yellow;;;Hyper car;;2021;;
dodge challenger drift car;;white;;;Muscle car;;2010;;
Mclaren Elva;;black;;;Hyper car;;2021;;
Shelby cobra 427 S/C;;blue;;;old muscle car;;1982;;
Porsche 935;;black;;;Hyper car;;2021;;
