real rider?;set;set;# out of (only for);Name;Name;color;color;model;model;year;more details;
No;Hw Race Day;;2/10;Volvo 850 Estate;;white;;Race car;;2019;2020 set;
No;Hw Race Day;;2/10;Volvo 850 Estate;;black;;Race car;;2019;2020 set;
No;Hw Race Day;;3/10;Alpine A110 Cup;;blue;;Race car;;2018;2020 set;
No;Hw Race Day;;4/10;76 Greenwood Corvette;;light blue;;Race car;;2012;2020 set;
No;Hw Race Day;;4/10;76 Greenwood Corvette;;white;;Race car;;2012;2020 set;
No;Hw Race Day;;5/10;85 Honda city turbo II;;red;;Race car;;2017;2020 set;
No;Hw Race Day;;5/10;85 Honda city turbo II;;silver;;Race car;;2017;2020 set;
No;Hw Race Day;;5/10;85 Honda city turbo II;;zamac;;Race car;;2017;2020 set;
No;Hw Race Day;;6/10;circle tracker;;white;;mattel racer;;2008;2020 set;
No;Hw Race Day;;6/10;circle tracker;;red;;mattel racer;;2008;2020 set;
No;Hw Race Day;;8/10;Ford Gt-40;;blue;;Race car;;1999;2020 set;
yes;Hw Race Day;;8/10;Ford Gt-40;;blue mettalic;;Race car;;1999;2020 set;super th
No;Hw Race Day;;9/10;street stealth;;blue;;Motorcycle;;2014;2020 set;
No;Hw Race Day;;10/10;night shifter;;black;;Car;;2015;2020 set;
No;Id chase car;;1/8;night shifter;;black;;Car;;2018;2020 set;
No;Fast Foodie;;1/5;Donut drifter;;red;;donut ;;2019;2020 set;
No;Fast Foodie;;2/5;Carbonator;;yellow and red;;flasche;;2018;2020 set;
No;Fast Foodie;;2/5;Carbonator;;blue and black;;flasche;;2018;2020 set;
No;Fast Foodie;;3/5;chill mill;;green;;milk truck;;2015;2020 set;
No;Fast Foodie;;4/5;roller toaster;;purple;;toaster;;2016;2020 set;
No;Fast Foodie;;4/5;roller toaster;;light blue;;toaster;;2016;2020 set;
No;Fast Foodie;;5/5;Buns of steel;;blue purple;;hamburger;;2018;2020 set;th
No;HW speed graphics;;2/10;2018 Ford Mustang GT;;red;;Car;;2017;2020 set;
No;HW speed graphics;;3/10;19 Ford Ranger Raptor;;red;;Pickup truck;;2018;2020 set;
No;HW speed graphics;;3/10;19 Ford Ranger Raptor;;white;;Pickup truck;;2018;2020 set;
No;HW speed graphics;;4/10;65 Mustang 2+2 Fastback;;white;;Muscle car;;2007;2020 set;
No;HW speed graphics;;5/10;68 Dodge dart;;blue;;Muscle car;;2010;2020 set;
No;HW speed graphics;;5/10;68 Dodge dart;;green;;Muscle car;;2010;2020 set;
No;HW speed graphics;;6/10;87 Dodge D100;;orange;;sahara car;;2017;2020 set;
No;HW speed graphics;;6/10;87 Dodge D100;;zamac;;sahara car;;2017;2020 set;
No;HW speed graphics;;7/10;Nissan silvia;;grey;;Car;;2019;2020 set;
No;HW speed graphics;;8/10;Datsun Bluebird Wagon;;red;;Wagon;;2012;2020 set;
No;HW speed graphics;;8/10;Datsun Bluebird Wagon;;yellow;;Wagon;;2012;2020 set;
No;HW speed graphics;;8/10;Datsun Bluebird Wagon;;black;;Wagon;;2012;2020 set;
No;HW speed graphics;;9/10;Mazda Repu;;blue grey;;Pickup truck;;2016;2020 set;
No;HW speed graphics;;10/10;17 Nissan Gt-R;2020 Model 50th anniversary version;white;;Car;;2016;2020 set;
yes;HW speed graphics;;10/10;17 Nissan Gt-R;2020 Model 50th Anniversary Version;blue mettalic;;Car;;2016;2020 set;super th
yes;Baja Blazers;;1/10;67 Jeepster commado;;blue mettalic;;Pickup truck;;2018;2020 set;super th
No;Baja Blazers;;1/10;67 Jeepster commado;;blue;;Pickup truck ;;2018;2020 set;
No;Baja Blazers;;2/10;chrysler pacifa;;red;;jeep;;2018;2020 set;
No;Baja Blazers;;2/10;chrysler pacifa;;black;;jeep;;2018;2020 set;
No;Baja Blazers;;3/10;geoterra;;blue;;jeep;;2019;2020 set;
No;Baja Blazers;;4/10;20 Jeep Gladiator;;red;;jeep;;2019;2020 set;
No;Baja Blazers;;4/10;20 Jeep Gladiator;;beij matt;;jeep;;2019;2020 set;
No;Baja Blazers;;6/10;42 Willys MB Jeep;;blue;;Car;;2019;2020 set;
No;Baja Blazers;;7/10;Dune it up;;black and white;;Buggy;;2008;2020 set;
No;Baja Blazers;;7/10;Dune it up;;purple and turqouise;;Buggy;;2008;2020 set;
No;Baja Blazers;;8/10;HW450F;;yellow;;Motorcycle;;2007;2020 set;
No;Baja Blazers;;9/10;Hyper Rocker;;white;;truck;;2018;2020 set;
No;Baja Blazers;;10/10;Land Rover Series III Pickup truck;;zamac;;Pickup truck;;2018;2020 set;
No;Baja Blazers;;10/10;Land Rover Series III Pickup truck;;beij  ;;Pickup truck;;2018;2020 set;
No;Baja Blazers;;10/10;Land Rover Series III Pickup truck;;green blue;;Pickup truck;;2018;2020 set;
No;Id chase car;;2/8;70 Ford escort RS1600;;orange;;Car;;2018;2020 set;
No;ROD Squad;;1/10;Big-air Bel-air;;gold;;Car;;2019;2020 set;
No;ROD Squad;;1/10;Big-air Bel-air;;black blue;;Car;;2019;2020 set;
No;ROD Squad;;2/10;49 Volkswagen Beetle Pickup truck;;grau;;Pickup truck;;2018;2020 set;
No;ROD Squad;;3/10;52 chevy;;blue;;Pickup truck;;2006;2020 set;
No;ROD Squad;;3/10;52 chevy;;kaki;;Pickup truck;;2006;2020 set;
No;ROD Squad;;4/10;52 Hudson Hornet;;purple;;Car;;2015;2020 set;
No;ROD Squad;;4/10;52 Hudson Hornet;;blue;;Car;;2015;2020 set;
No;ROD Squad;;4/10;52 Hudson Hornet;;zamac;;Car;;2015;2020 set;
No;ROD Squad;;5/10;49 Ford F1;;orange;;Pickup truck;;2012;2020 set;
No;ROD Squad;;5/10;49 Ford F1;;green;;Pickup truck;;2012;2020 set;
No;ROD Squad;;6/10;68 chevy Nova;;zamac;;Muscle car;;2008;2020 set;
No;ROD Squad;;6/10;68 chevy Nova;;red;;Muscle car;;2008;2020 set;
No;ROD Squad;;7/10;8 crate;;silver;;Wagon;;2002;2020 set;
No;ROD Squad;;8/10;custom cadillac fleetwood;;green;;Old car;;2012;2020 set;
No;ROD Squad;;9/10;moto wing;;green;;motorcycle with 4 wheels;;2018;2020 set;
No;ROD Squad;;10/10;57 chevy;;pink;;Old car;;1976;2020 set;
yes;ROD Squad;;10/10;57 chevy;;pink mettalic;;Old car;;1976;2020 set;super th
No;HW Dream Garage;;1/10;2 jet Z;;grey;;Car;;2019;2020 set;
No;HW Dream Garage;;1/10;2 jet Z;;blue;;Car;;2019;2020 set;
No;HW Dream Garage;;2/10;2005 Ford Mustang;;green;;Car;;2015;2020 set;
No;HW Dream Garage;;3/10;18 copo camaro ss;;black;;Car;;2018;2020 set;
No;HW Art Cars;;7/10;Purple passion;;light blue;;Old car;;2024;2020 set;
No;HW Dream Garage;;3/10;18 copo camaro ss;;silver;;Car;;2018;2020 set;
No;HW Dream Garage;;4/10;Twin Mill Gen-E;;green;;future car;;2018;2020 set;
No;HW Dream Garage;;5/10;mod rod;;red;;low rider muscle car;;2019;2020 set;
No;HW Dream Garage;;8/10;custom '71 el camino;;red;;Muscle car;;2012;2020 set;
No;HW Dream Garage;;8/10;custom '71 el camino;;grey;;Muscle car;;2012;2020 set;
No;HW Dream Garage;;8/10;custom '71 el camino;;zamac;;Muscle car;;2012;2020 set;
No;HW Dream Garage;;9/10;Rip Rod;;blue and chrome;;Car;;2013;2020 set;
No;HW Dream Garage;;10/10;2013 Hot Wheels Chevy Camaro Special Edition;;green;;Car;;2012;2020 set;th
No;HW Rescue;;4/10;92 BMW M3;;white and green;;police;;2011;2020 set;
No;HW Rescue;;4/10;92 BMW M3;;zamac and blue;;police;;2011;2020 set;
No;HW Rescue;;5/10;Dodge Charger Drift;;blue;;police;;2009;2020 set;
No;HW Rescue;;6/10;Mad Propz;;yellow;;airplane;;2004;2020 set;
No;HW Rescue;;6/10;Mad Propz;;purple;;airplane;;2004;2020 set;
No;HW Rescue;;9/10;Sky Boat;;orange and black;;airplane and boat;;2008;2020 set;
No;HW Rescue;;10/10;Chevy silverado;;green;;Pickup truck;;2007;2020 set;th
No;Muscle Mania;;1/10;2020 Ford Mustang Shelby GT500;;red;;Muscle car;;2020;2020 set;
No;Muscle Mania;;2/10;64 Nova Wagon Gasser;;green;;Wagon;;2018;2020 set;
No;Muscle Mania;;2/10;64 Nova Wagon Gasser;;blue;;Wagon;;2018;2020 set;
No;Muscle Mania;;3/10;69 Ford Mustang Boss 302;;zamac;;Muscle car;;2019;2020 set;
No;Muscle Mania;;4/10;84 Pontiac Firebird;;red;;Car;;2019;2020 set;
No;Muscle Mania;;5/10;70 Dodge Charger R/T;;blue;;Muscle car;;2010;2020 set;
No;Muscle Mania;;6/10;86 Monte Carlo SS;;green;;Car;;2010;2020 set;
No;Muscle Mania;;7/10;Rodger Dodger 2.0;;blue;;Muscle car;;2018;2020 set;
No;Muscle Mania;;8/10;Custom Otto;;blue;;Muscle car;;2019;2020 set;
No;Muscle Mania;;8/10;Custom Otto;;pink purple;;Muscle car;;2019;2020 set;
No;Muscle Mania;;10/10;18 Dodge Challenger SRT Demon;;yellow;;Muscle car;;2018;2020 set;
yes;Muscle Mania;;10/10;18 Dodge Challenger SRT Demon;;gold metalic;;Muscle car;;2018;2020 set;sth
No;Id chase car;;8/8;70 Dodge Charger R/T;;blue;;Muscle car;;2017;2020 set;
Yes;2020 Collector Edition;;-;Volkswagen Sunagon;;zamac;;Van;;1981;2020 set;in card keeper
Yes;2020 Collector Edition;;-;69 Nissan Skyline van;;purple mettalic;;Wagon;;2017;2020 set;in card keeper
Yes;2020 Collector Edition;;-;Custom '77 Dodge Van;;purple mettalic;;Van;;2009;2020 set;in card keeper
Yes;2020 Collector Edition;;-;65 Volkswagon Fastback;;purple mettalic;;fast back;;2008;2020 set;in card keeper
Yes;2020 Collector Edition;;-;76 Chevy Monza;;purple mettalic;;Race car;;2011;2020 set;in card keeper
Yes;2020 Collector Edition;;-;60s Ford Ecoline Pickup truck;;purple mettalic;;Pickup truck ;;2016;2020 set;in card keeper
Yes;2020 Collector Edition;;-;55 Chevy Bel Air Gasser;;gold metalic;;Muscle car;;2012;2020 set;in card keeper
No;Olympic games Tokyo 2020;;1/10;surfs up;;blue;;surfer;;2019;2020 set;
No;Olympic games Tokyo 2020;;2/10;10 Toyota Tundra;;white;;Pickup truck truck;;2011;2020 set;
No;Olympic games Tokyo 2020;;2/10;10 Toyota Tundra;;red;;Pickup truck truck;;2011;2020 set;
No;Olympic games Tokyo 2020;;3/10;Fast Felion;;green;;Car;;2008;2020 set;
No;Olympic games Tokyo 2020;;4/10;Mountain Mauler;;green;;Car;;2013;2020 set;
No;Olympic games Tokyo 2020;;5/10;Hi Beam;;pink ;;Car;;2017;2020 set;
No;Olympic games Tokyo 2020;;5/10;Hi Beam;;white;;Car;;2017;2020 set;
No;Olympic games Tokyo 2020;;6/10;skate grom;;purple;;skateboard;;2013;2020 set;
No;Olympic games Tokyo 2020;;7/10;Sky Dome;;purple;;Car;;2016;2020 set;
No;Olympic games Tokyo 2020;;8/10;Toyota 2000 GT;;red;;Car;;2011;2020 set;
No;Olympic games Tokyo 2020;;8/10;Toyota 2000 GT;;white;;Car;;2011;2020 set;
No;Olympic games Tokyo 2020;;9/10;Velocita;;black;;Car;;2014;2020 set;
No;Olympic games Tokyo 2020;;9/10;Velocita;;white;;Car;;2014;2020 set;
No;Olympic games Tokyo 2020;;10/10;Dune Daddy;;pink;;Buggy;;2018;2020 set;th
No;HW Ride-ons;;1/5;Pixel Shaker;;blue;;pixel car;;2019;2020 set;
No;HW Ride-ons;;2/5;Aisle Driver;;orange;;shopping kart;;2016;2020 set;
No;HW Ride-ons;;4/5;Wheel Chair;;blue;;wheel chair;;2018;2020 set;
No;HW Ride-ons;;4/5;Wheel Chair;;black;;wheel chair;;2018;2020 set;
No;HW Ride-ons;;5/5;Grass Chomper;;orange;;grass cutter;;2015;2020 set;th
No;Nightburnerz;;1/10;2018 Bentley Continental GT3;;blue;;Race car;;2020;2020 set;
No;Nightburnerz;;2/10;96 Chevrolet Impala SS;;black;;Car;;2019;2020 set;
No;Nightburnerz;;3/10;89 Mazda Savanna RX-7 FC3S;;red;;Car;;2019;2020 set;
No;Nightburnerz;;4/10;Porsche 914 Safari;;blue;;small truck;;2020;2020 set;
No;Nightburnerz;;4/10;Porsche 914 Safari;;yellow;;small truck;;2020;2020 set;
No;Nightburnerz;;5/10;19 Mercedes-Benz A-Class;;red;;Car;;2018;2020 set;
No;Nightburnerz;;6/10;Jaguar XE SV Project 8;;green;;Car;;2018;2020 set;
No;Nightburnerz;;6/10;Jaguar XE SV Project 8;;grey;;Car;;2018;2020 set;
No;Nightburnerz;;9/10;Mclaren Senna;;zamac;;Hyper car;;2018;2020 set;
No;Nightburnerz;;10/10;64 Chevy Chevelle SS;;blue;;Car;;2011;2020 set;
Yes;Nightburnerz;;10/10;64 Chevy Chevelle SS;;light blue mettalic;;Car;;2011;2020 set;super th
No;porsche;;1/5;89 Porsche 944 Turbo;;red;;Car;;2019;2020 set;
No;porsche;;1/5;89 Porsche 944 Turbo;;beij;;Car;;2019;2020 set;
No;porsche;;2/5;96 Porsche Carrera;;yellow;;Car;;2018;2020 set;
No;porsche;;2/5;96 Porsche Carrera;;black;;Car;;2018;2020 set;
No;porsche;;2/5;96 Porsche Carrera;;grey;;Car;;2018;2020 set;
No;porsche;;3/5;Porsche Panamera Turbo S E-Hybrid Sport Turismo;;blue;;Car;;2018;2020 set;
No;porsche;;3/5;Porsche Panamera Turbo S E-Hybrid Sport Turismo;;white;;Car;;2018;2020 set;
No;porsche;;4/5;Porsche 917 LH;;blue;;Race car;;2017;2020 set;
No;porsche;;4/5;Porsche 917 LH;;zamac;;Race car;;2017;2020 set;
No;porsche;;5/5;Porsche 918 Spyder;;blue;;Hyper car;;2017;2020 set;
yes;porsche;;5/5;Porsche 918 Spyder;;blue mettalic;;Hyper car;;2017;2020 set;super th
No;HW Roadsters;;1/5;91 Mazda Mx-5 Miata;;yellow;;Car;;2018;2020 set;
No;HW Roadsters;;2/5;16 Lamborghini Centenario roadster;;white;;Hyper car;;2018;2020 set;
No;HW Roadsters;;2/5;16 Lamborghini Centenario roadster;;red;;Hyper car;;2018;2020 set;
No;HW Roadsters;;3/5;69 camaro;;blue;;cabrio;;2006;2020 set;
No;HW Roadsters;;4/5;Shelby Cobra 427 S/C;;zamac;;cabrio;;1983;2020 set;
No;HW Roadsters;;5/5;17 Pagani Huayra Roadster;;green;;cabrio;;2017;2020 set;
Yes;HW Roadsters;;5/5;17 Pagani Huayra Roadster;;green mettalic;;cabrio;;2017;2020 set;super th
Yes;Fast and Furious;;1/5;Aston Martin DBS;;silver grey;;Old car;;2013;;
Yes;Fast and Furious;;2/5;Mclaren 720s;;dark grey;;Hyper car;;2017;;
Yes;Fast and Furious;;3/5;Lamborghini Aventador Coupé;;matt black;;Hyper car;;2011;;
Yes;Fast and Furious;;4/5;BMW M3 E36;;black;;Car;;2020;;
Yes;Fast and Furious;;5/5;BMW M3 E46;;white;;Car;;2020;;
Yes;Cruise Boulevard;;2/5;69 Chevelle SS 396;;Blue;;Car;;2007;;
No;Fast and Furious;;1/5;Dodge Challenger Drift Car;;green and black;;Muscle car;;2010;;
No;Fast and Furious;;2/5;Ice Charger;;dark grey silver;;Muscle car;;2017;;
No;Fast and Furious;;3/5;Nissan Skyline GT-R;;silver;;JDM car;;2009;;
No;Fast and Furious;;3/5;Nissan Skyline GT-R;;silver;;JDM car;;2009;;
No;Fast and Furious;;4/5;71 Plymouth GTX;;black;;Muscle car;;2011;;
No;Fast and Furious;;5/5;Corvette Grand sport;;silver;;Car;;2014;;
No;Spiderman Maximum Venom;;5/5;Tail Dragger;;black;;Car;;1997;;
No;Spiderman Maximum Venom;;3/5;71 El camino;;blue;;Muscle car;;2018;;
No;Matchbox moving parts;;-;2016 Chevy camaro;;blue;;Muscle car;;2017;;
No;Matchbox moving parts;;-;1965 Volkswagen Type 3 Fastback;;blue;;Car;;2020;;
No;Matchbox Germany;;9/12;1969 BMW 2002;;blue;;Old car;;2018;;
No;Matchbox Germany;;3/12;BMW M5 Police;;blue and silver;;police;;2014;;
No;Matchbox Germany;;1/12;1962 VW Beetle;;orange;;Old car;;1998;;
No;Matchbox Germany;;8/12;1976 VW Golf MK1;;red;;Car;;2019;;
Yes;Team Transport;;#34;74 Chevrolet Vega Pro Stock and Horizon hauler;;;white red, blue;drag car and hauler;;2020;;
Yes;Team Transport;;#31;"Volkswagen ""Baja Bug"" and Horizon hauler";;;orange and black;Dune car and hauler;;2020;;
Yes;Team Transport;;#30;18 Dodge Challenger SRT Demon, Retro Rig;;;blue;drag car and hauler;;2020;;
Yes;Team Transport;;#7;66 Super Nova, Retro Rig;;black;;drag car and hauler;;2019;;
Yes;Team Transport;;#11;Nissan Fairlady Z, Sakura Sprinter;;white and red;;JDM car and hauler;;2019;;
Yes;Team Transport;;#10;Mercedes-Benz 190E, Fleet Flyer;;blue and green;;race car and hauler;;2019;;
Yes;Team Transport;;#14;Jaguar Lightweight E-type, Carry on;;;white and dark green;;old timer, hauler;2019;;
Yes;Team Transport;;#32;32 Ford, Speed waze;;orange and blue;;hot rod and hauler;;2020;;
Yes;The dark Knight rises;;-;Lamborghini Aventador Coupé;;grey;;Hyper car;;2011;;
yes;Back to the Future;;-;time machine;;silver;;fantasy, real car;;2019;;
No;Factory fresh;;7/10;16 Bugatti Chiron;;black;;Hyper car;;2018;;
No;HW Race Day;;10/10;Mustang Funny car;;grey;;drag car;;2020;th;
No;Baja Blazers;;5/10;70 Ford escort RS1600;;orange  ;;offroad car;;2014;;
No;HW space;;2/5;Tesla roadster with staraman;;red;;Car;;2008;;
No;truck set;;1/5;65 ford Ranchero;;green;;Pickup truck trucks;;2010;;
No;truck set;;2/5;Mazda Repu;;yellow;;Pickup truck trucks;;2016;;
No;truck set;;3/5;Datsun 620;;grey;;Pickup truck trucks;;2013;;
No;truck set;;4/5;Land Rover Series III Pickup truck;;maroon/brown;;Pickup truck trucks;;2018;;
No;truck set;;5/5;Custom '72 Chevy Luv ;;light blue;;Pickup truck trucks;;2015;;
No;1/4 mile set;;1/5;Mclaren Senna;;yellow;;Race car;;2018;;
No;1/4 mile set;;2/5;18 dodge challenger srt demon;;grey;;Race car;;2018;;
No;1/4 mile set;;3/5;Porsche 918 Spyder;;green;;Race car;;2017;;
No;1/4 mile set;;4/5;Lamborghini Aventador Miura Homage;;orange;;Race car;;2011;;
No;1/4 mile set;;5/5;Bugatti veyron 16.4;;black;;Race car;;2020;;
No;1/4 mile set;;5/5;Bugatti veyron 16.4;;black;;Race car;;2020;;
No;X-Raycers;;10/10;power pistons;;yellow;;Car;;2014;th;
Yes;Team Transport;;#27;Nissan skyline GT-R 32, Sakura sprinter;;;red, black;Transporter and car;;2020;;
No;Forza Motorsport;;1/5;15 Land rover Defender Double cab;;;white and blue;truck;;2017;;
No;Forza Motorsport;;2/5;17 Acura NSX;;white, red;;Car;;2015;;
No;Forza Motorsport;;3/5;17 Audi RS 6 Avant;;white, orange;;station wagon;;2017;;
No;Forza Motorsport;;3/5;17 Audi RS 6 Avant;;white, orange;;station wagon;;2017;;
No;Forza Motorsport;;4/5;Ford Shelby GT350;;white, blue;;Muscle car;;2015;;
No;Forza Motorsport;;5/5;Porsche 934 Turbo RSR;;white, green;;Old car;;2014;;
No;Forza Motorsport;;5/5;Porsche 934 Turbo RSR;;white, green;;Old car;;2014;;
No;Cult Racers;;1/5;08 Ford Focus;;red;;Car;;2017;;
No;Cult Racers;;2/5;Nissan Skyline 2000 Turbo RS 30;;white;;JDM car;;2017;;
No;Cult Racers;;3/5;Volkswagen Golf MK2;;green;;Car;;1989;;
No;Cult Racers;;4/5;88 Honda CR-X;;black;;JDM car;;2018;;
No;Cult Racers;;5/5;Scion FR-S;;pink;;JDM car;;2013;;
No;52 anniversary;;1/6;Muscle speeder;;white;;Car;;2015;;
No;52 anniversary;;2/6;32 Ford;;white;;Car;;1997;;
No;52 anniversary;;3/6;Fast-Bed Hauler;;white;;hauler;;2013;;
No;52 anniversary;;4/6;55 Chevy Bel Air Gasser;;white;;Muscle car;;2012;;
No;52 anniversary;;5/6;68 Corvette -Gas Monkey Garage;;white;;Muscle car;;2016;;
No;52 anniversary;;6/6;Volkswagen T2 Pickup truck;;white;;Pickup truck truck;;2016;;
No;52 anniversary;;-;Gazella GT;;orange chrome;;Car;;2015;;
No;Fast and Furious 5-pack;;-;61 Impala, Ford GT-40, '72 Ford Gran Torino Sport, Lancer Evolution, Nissan 360Z;;;red, blue, green, light green, grey;;cars;2020;;
No ;Redline Neo-Classics;;4/4;56 Ford;;Shiny Blue;;Van;;1999;;
Yes;Wild Terrain;;1/5;88 Mercedes Unimog U1300;;red and white;;off road truck;;2018;;
Yes;Wild Terrain;;1/5;88 Mercedes Unimog U1300;;red and white;;off road truck;;2018;;
Yes;Wild Terrain;;2/5;85 Ford Bronco;;black and white;;off road truck;;2012;;
Yes;Wild Terrain;;3/5;67 Off Road Camaro;;white;;off road car;;2018;;
Yes;Wild Terrain;;4/5;Land Rover Defender 110 Hard Top;;yellow;;off road truck;;2018;;
Yes;Wild Terrain;;5/5;Porsche 959 (1986);;blue and white;;off road car;;2019;;
Yes;DeadPool;;1/1;Deadpool Chimichanga Truck;;yellow;;Food Truck;;2017;;
Yes;Power Trip;;1/5;Plymouth Barracuda Hemi;;black with red, white and blue stripes;;Drag Racer;;2006;;
Yes;Power Trip;;2/5;87 Buick Regal GNX;;white;;Car;;2019;;
Yes;Power Trip;;3/5;Custom '72 Chevy Luv ;;purple;;Pickup truck truch;;2015;;
Yes;Power Trip;;4/5;18 Dodge Challenger SRT Demon;;same as plymouth in set;;Drag Racer;;2018;;
Yes;Power Trip;;5/5;1991 GMC Syclone;;red  ;;Pickup truck truch;;2019;;
Yes;Exotic Envy;;1/5;McLaren Senna;;light blue;;Hyper car;;2018;;
Yes;Exotic Envy;;2/5;Aston Martin Vulcan;;orange;;Hyper car;;2018;;
Yes;Exotic Envy;;3/5;Aston Martin Valhalla Concept;;red;;Hyper car;;2020;;
Yes;Fast & Furious Full Force;;1/5;95 Mazda RX-7;;red;;JDM car;;2018;;
Yes;Deutschland Design;;3/5;Porsche 959 (1986);;white;;Car;;2019;;
Yes;Boulevard;;16;Twin Mill  ;;blue  ;;fantasy car;;1969;;
Yes;Boulevard;;16;Twin Mill  ;;blue;;fantasy car;;1969;;
Yes;Boulevard;;17;Kool Kombi;;yellow;;Drag Racer;;2012;;
Yes;Boulevard;;19;69 Alfa Romeo 33 Stradale;;red;;Car;;2019;;
Yes;Boulevard;;21;63 Chevy Nova;;purple;;Drag car;;2020;;
Yes;Boulevard;;22;1968 Mazda Cosmo Sport;;weite and blue;;Car;;2019;;
Yes;Boulevard;;23;64 Buick Rivera;;red;;Car;;2016;;
Yes;Toy story;;1/1;Pizza Planet Truck;;yellow;;Station wagon;;2018;;
Yes;Boulevard;;18;Toyota AE86 Sprinter Trueno;;white;;JDM car;;2019;;
Yes;Boulevard;;20;Nissan Skyline C210;;black;;JDM car;;2017;;
Yes;Euro Speed;;5/5;Audi R8 LMS;;white;;Race car;;2017;;
Yes;Thriller Climbers;;5/5;Volkswagen ID R;;white;;Race car;;2019;;
Yes;Japan Historics 3;;1/5;Nissan Skyline RS (KDR30);;red and black;;JDM car;;2019;;
Yes;Britisch Horse Power;;3/5;Morris Mini;;orange;;Car;;2000;;
Yes;Boulevard;;26;Corvette Z06 Drag Racer;;blue;;Drag Racer;;2020;;
Yes;Boulevard;;27;Custom '67 Pontiac Firebird;;sliver (zamac);;Muscle car;;2017;;
Yes;Boulevard;;30;87 Buick Regal GNX;;dark grey;;Car;;2019;;
Yes;Deluxe cars;;214F, 214G;Nissan GT-R;;purple;;JDM car;;-;majorette;
Yes;Deluxe cars;;214F, 214G;Nissan GT-R;;magic purple;;JDM car;;-;majorette;
No;Moving Parts;;-;1982 Datsun 280 ZX;;light blue;;Car;;2018;matchbox;
No;Moving Parts;;-;1955 Porsche 550 Spyder;;light blue;;Old car;;2019;matchbox;
No;Moving Parts;;1/20;Pagani Huayra Roadster;;dark blue;;Hyper car;;2020;matchbox;
Yes;Premium Cars;;279A-1;Chevrolet Camaro;;red mettalic;;Muscle car;;-;majorette;
No;Nightburnerz;;-;68 Corvette -Gas Monkey Garage, '70 Ford Escort RS1600, ;;;grey, blue, beige, green, copper;;cars;2020;one 5-pack;
;;;;Datsun 510 Wagon, Dodge Viper SRT10 ACR, Porsche 934 Turbo RSR;;;;;;;same 5-pack;
Yes;Slick Rides;;6/25;Custom '62 Chevy ;;silver and red;;Pickup truck ;;2009;;
No;Happy New Year 2012;;1/1;Carbonator;;red;;Car;;2012;;
No;Hotwheels classics;;series 3, 10/30;Plymouth King Kuda;;pink chrome;;Muscle car;;1997;;
No;Hotwheels classics;;Series 5, 28/30;Studa-Breaker;;chrome;;Car;;2008;;
No;-;;5/6;Porsche 934 Turbo RSR;;orange;;Old car;;2018;;
Yes;RLC 2021 club exclusive sign up;;-;70 Mustang Boss 302;;spectraflame orange;;Muscle car;;2021;comes with badge and neh badge;
Yes;RLC collecters car;;14444/20000;Thunder Roller;;spectraflame purple;;truck;;2021;;
Yes;RLC collecters car;;10107/20000;55 Mercedes-Benz 300 SL;;chrome;;Old car;;2021;;
Yes;RLC collecters car;;15818/25000;Custom '72 Datsun 240Z;;spectraflame gold;;JDM car;;2021;;
Yes;RLC collecters special edition;;09878/20000;64 Impala;;spectraflame pink;;lowrider;;2021;;
Yes;RLC collecters car;;2980/20000;1944 Jeep Willys MB;;spectraflame kaki;;off road car;;2021;;
Yes;RLC collecters car Gucci;;4700/5000;Cadillac seville designed by Gucci;;white;;limo;;2021;;
Yes;Team Transport;;#29;BMW M3 E46 with Aero Lift;;red;;race car with truck;;2020;;
Yes;Team Transport;;#12;Nissan Skyline GT-R (BNR34) with Aero Lift;;silver  ;;car with truck;;2019;;
Yes;Forza Motorsport;;5/5;Pagani Huayra  ;;orange/red metalic;;Hyper car;;2017;;
No;HW Space;;5/5;Ollie Rocket;;black and gold;;rocket;;2015;Th;
No;HW Space;;5/5;Ollie Rocket;;black and gold;;rocket;;2015;Th;
No;HW Space;;5/5;Ollie Rocket;;black and gold;;rocket;;2015;Th;
No;Experimotors;;9/10;Skull Shaker;;purple;;hot rod;;2017;Th;
No;Experimotors;;9/10;Skull Shaker;;purple;;hot rod;;2017;Th;
No;Experimotors;;9/10;Skull Shaker;;purple;;hot rod;;2017;Th;
No;Fast Foodie;;2/5;Street Wiener;;brown;;sausage;;2017;Th;
No;HW Art Cars;;4/10;Custom '77 Dodge Van;;white;;Van;;2017;Th;
No;Street Beasts;;10/10;Tericera-truck;;black and blue;;dinosaur;;2018;Th;
No;Street Beasts;;10/10;Tericera-truck;;black and blue;;dinosaur;;2018;Th;
No;Halloween;;1/6;Epic Fast;;purple;;Car;;2014;;
No;Halloween;;2/6;Twinduction;;red;;Car;;2010;;
No;Halloween;;3/6;Hover & out;;black;;Car;;2017;;
No;Halloween;;4/6;Night Burner;;orange;;Car;;2016;;
No;Halloween;;5/6;HW Poppa Wheelie;;green;;wheelie car;;2013;;
No;Halloween;;6/6;Super Stinger;;white;;glow in the dark car;;2009;;
Yes;2012 HW Premiere;;42/50;DW-1;;red;;formel 1;;2011;;
Yes;T-Hunt;;4/12;Cougar 1968;;black;;Old car;;2001;;
No;HW Race Day;;1/10;16 Mercedes-AMG GT3;;yellow;;race car  ;;2017;;
No;Factory Fresh;;7/10;DMC Delorean;;grey;;Car;;2009;;
No;Baja Blazers;;7/10;84 Audi Sport Quattro;;white;;rally car;;2018;;
No;Nissan;;1/5;Nissan Skyline GT-R (BCNR33);;red;;Car;;2017;;
